"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.416163108E0,-9.399414062E-3,-5.798339844E-4,-5.726623535E-2,5.803539354E-2
1.421167991E0,-1.472473145E-2,-3.234863281E-3,-5.087280273E-2,5.305962792E-2
1.426172874E0,-2.005004883E-2,-4.302978516E-3,-4.501342773E-2,4.946441912E-2
1.431177756E0,-2.325439453E-2,-5.905151367E-3,-3.808593750E-2,4.501306825E-2
1.436182639E0,-2.325439453E-2,-9.628295898E-3,-3.489685059E-2,4.302628415E-2
1.441157004E0,-1.953125000E-2,-1.176452637E-2,-3.062438965E-2,3.818019183E-2
1.446161887E0,-1.260375977E-2,-1.016235352E-2,-2.264404297E-2,2.783668212E-2
1.451136252E0,-7.812500000E-3,-8.560180664E-3,-1.678466797E-2,2.039698331E-2
1.456141135E0,-8.850097656E-4,-4.837036133E-3,-1.306152344E-2,1.395648793E-2
1.461146018E0,2.853393555E-3,-1.632690430E-3,-1.199340820E-2,1.243581011E-2
1.466150901E0,4.440307617E-3,-1.632690430E-3,-1.092529297E-2,1.190563044E-2
1.471125266E0,5.508422852E-3,-5.798339844E-4,-1.411437988E-2,1.516227718E-2
1.476130149E0,4.974365234E-3,1.022338867E-3,-1.943969727E-2,2.009207097E-2
